PIRS Capital,YES,OK,6,1st position (A-Tier),All 50 states,Transportation/Logistics; Local transport incl towing; Accounting services; Limo/Taxi services; Law firms/legal services; Gas stations; Supermarkets/Convenience stores; Trucking; Real estate rental & leasing; Financial institutions; Motor vehicle sales; Casinos/Gambling; Travel agencies; Cannabis; Automotive sales,Construction: 7 deposits; Home-based businesses: no sole props (see notes),Not specified,Void check; Driver’s license; MTD bank statement; Proof of ownership; Landlord/Mortgage reference; >150K funded: 8821 + previous years tax return,#VALUE!,#NAME?
QFS Capital,NO,Position mismatch,5,2+ positions (CRC; no max positions) + MCA,Not specified,Gambling/Casinos; Pornography/Escorts; Jewelry; Law Firms; Auto Sales,"Trucking: min 5 trucks, NOT home-based, max 5 neg days last 3 months",Medical Offices; IT & Software Services; Agricultural Services; Educational Services; Health Services,,OK,#NAME?
VitalCap Fund,YES,OK,6,1st/2nd/3rd (focus 2nd-3rd; 1st & 4th case-by-case),Restricted: UT; AK; HI (also restricted cities: NYC; L.A.; Miami),Financial Institutions; Collection Agencies; Gas Stations; Used/New Auto Sales; Trucking; Non-for-Profit; Bail Bonds; Check-Cashing; Religious Entities; Real Estate Investment; Staffing; Traveling Agencies; Childcare; Oil Drilling,Construction; Landscaping; Auto Repair; Insurance; Law Firm (min $70K avg monthly; no 1st position),Restaurants; Wholesalers; Liquor Stores; Retail; Medical; Manufacturers (min $15K avg monthly),"New subs/contracts/revisions: submissions@vitalcapfund.com + jeff@vitalcapfund.com; Max remit: 1st 15% / 2nd 30% / 3rd 32%; Min ownership 51%; ISO syndication up to 50%; Standard stips: DL, VC, merchant email, bank verification, proof of ownership, payback months if seasonal; Phone: 212-994-6996; ISO info: 850-630-7509",#VALUE!,#NAME?
Clearfund Solutions LLC,YES,OK,6,1st 2nd 3rd 4th 5th,Not specified,Not specified,Not specified,Not specified,Bank Fee: 3%-5%; Submissions: deals@clearfund.co; Support: support@clearfund.co; Office: (855) 543-2133,FAIL,#NAME?
Litefund Solutions LLC,YES,OK,6,1st 2nd 3rd 4th 5th 6th 7th 8th 9th 10th,All states,Not specified,Inquire about Texas Program,Minimal industry restrictions,Commission: up to 12%; Submissions: deals@litefund.co; Support: support@litefund.co; Office: 202-850-9077,FAIL,#NAME?
Simply Funding,YES,OK,6,1st 2nd 3rd 4th,"All except AK, HI, CT, KS, NV",Lawyers; Non-profit; Trucking; Solar,Not specified,Restaurants; Manufacturing; Retail (Brick & Mortar + Online); Firearms (Manufacturing and Sales); Nail Salons and Spa; Veterinary Care; Landscaping and Lawn; Health Care (Medical/Staffing/Home Health); Liquor; Tobacco; Auto Repair,"Limited stips; Soft credit pull; Firm offers; 1-hour approval; Docusign contracts; Same-day funding; Renewals: 50% paid in; Renewals pay full commission; Submit: submissions@simplyfunding.com; Phone: 800-661-1864; Address: 300 N Main St, Spring Valley, NY 10977",FAIL,#NAME?
Fox Business Funding (Updated),NO,Position mismatch,5,2nd 3rd 4th 5th,All states with restrictions (see notes),Do NOT fund: Non-Profit/Religious; Pawn Shops; Crypto Currency; Lottery and Auction; Check Cashing; Money Wiring; Debt Collection; Bankruptcy Lawyers; Auto Sales,High risk: Landscaping & Lawn; General Contracting; Recycling; Ticketing; Trucking & Distribution,*Grocery/Convenience; Wholesale; Medical; Construction; Electricians; Auto Repair; Liquor Stores; Plumbing; Pharmacies; Military Contractors; Manufacturing; Insurance Agencies; Funeral Homes; Laundromat; Gun Stores; Cannabis & CBD; Dentists; Commercial Real Estate; Janitorial,"2-5th position; Min $50K/mo revenue; Min 1 year TOB; Min 550 FICO; Up to $2M per deal; Up to 12 points commission (*after 10 points, +2 points at 2:1 ratio); Restricted states: CA/NY require $100K min funding + 600+ FICO + max 1.39 + no high-risk + max 10 pts + 4 months statements; TX: $50K min funding + 600+ FICO + max 1.39 + no high-risk + max 10 pts + no PSF fees (Texas biz loans via affiliate Redwood Loans); CT & MO: ISO must be registered to fund as finance broker via NMLS to be paid commission; Clawback: issues within 30 business days extend clawback period + automated monitoring email; Contact: Goldie (718) 554-3911, goldie@foxbusinessfunding.com",OK,#NAME?
Idea Financial,YES,OK,6,1st 2nd 3rd,VT; ND; SD (fund nationally except these),Farming and mining; New home construction/residential remodeling; Used cars and vehicles; Telecommunications/media publishing; Real estate; General government support; Natural gas and power generation/distribution; Gun stores; Oil/gas/air/water/rail transportation; Banking/securities/commodities investments; Elementary schools and performing arts; Farming and dispensing cannabis,Not specified,Health Care & Social Assistance; Retail Trade; Manufacturing; Landscaping; Wholesale Trade; Law firms; Accommodation & Food Services (restaurants/breweries),,FAIL,#NAME?
Reliance Financial,YES,OK,6,1st 2nd 3rd 4th 5th 6th,All states,Cannabis; Check Cashing; Factored Trucking; Auto Sales; Specialty Law; Debt Consolidation; Bail Bond,Not specified,Not specified,Origination fee option 5% (or <=4% option) + commission grid by factor 1.38–1.49; Submission: uw@reliancef.com,OK,#NAME?
Dependance,YES,OK,6,1st 2nd 3rd 4th 5th 6th 7th 8th,All states,Cannabis; Check Cashing; Factored Trucking; Auto Sales; Specialty Law; Debt Consolidation; Bail Bond,Not specified,Not specified,Commission grid by factor 1.38–1.49 (6–12 pts); Submission: uw@dependancep.com,OK,#NAME?
Instagreen Capital,NO,Position mismatch,5,2nd  3rd 4th 5th 6th 7th,Not specified,Not specified,Not specified,Not specified,Conditional approval within 1 business hour; No credit inquiry required; Same-day wire/ACH after funding call; ISO comp after 5 cleared remittances; Max upsell 1.50; Commission at 1.50 = 11,OK,#NAME?
Everest,YES,OK,6,1st 2nd 3rd 4th,All states,Not specified,Not specified,B-C Paper,Mid tier lender; Uses portal for submissions,OK,#NAME?
Vader,YES,OK,6,1st 2nd 3rd,All states,Not specified,Not specified,B-D Paper,Small-mid ticket; Higher risk tolerance,OK,#NAME?
Adventure Funding,YES,OK,6,1st 2nd 3rd 4th,All states,Not specified,Not specified,B-D Paper,Flexible underwriting; Mid risk,OK,#NAME?
Swift Funding Source,NO,Position mismatch,5,2nd  3rd 4th 5th 6th,All states,Trucking; Nonprofit; Debt Consolidation; Financial Institutions; Nail Salons; Real Estate; Cannabis; Child Care; Auto Sales; Law Firms; Agriculture,Healthcare; Contracting; Auto Repair; Software,B-C Paper,Max 5 existing; <50% withhold; ADP ≥3x payment,OK,#NAME?
CFG Merchant Solutions,YES,OK,6,1st,All states (CA 5000 min net),Non-profits; Religious; Debt collection; Bail bonds; Pawn shops; Payday lenders; Stockbrokers; Crypto; Lending companies; Canada/PR,Construction; Trucking; New Auto (2nd pos only),B-D Paper,B-D lender; 30 day clawback; 24hr response,OK,#NAME?
Liquidibee,NO,Position mismatch,5,2nd  3rd 4th 5th 6th,All states (TX paused),Finance Cos; Nonprofits; Debt Collection; Check Cashing; Adult; Credit Repair; Trucking,Construction (100K min; commercial only); Nail/Salon (card receivables only),B-D Paper,51% ownership; No trucking under this platform,OK,#NAME?
Southern Cap,NO,Position mismatch,5,2nd  3rd 4th 5th 6th,All states (TX paused),Finance Cos; Nonprofits; Debt Collection; Check Cashing; Adult; Credit Repair,Trucking (50000 min; commercial receivables only),Higher Risk B-D,Higher risk program; Short term,OK,#NAME?
Elevate Funding,YES,OK,6,1st,All 50 States (Loan product TX),Extensive list incl Adult; Agriculture; Auto Sales; Nail Salons; Nonprofits; Real Estate; Trucking; Travel; Crypto; Legal; Staffing; Security; etc,General small business,B-C Paper,No COJ; No UCC; No PG; Add-on after 3 weeks,#VALUE!,#NAME?
Fundomate,YES,OK,6,1st 2nd 3rd,All states,Auto Dealers; Cannabis; Gambling; Finance/Lending; Credit Repair; Payment Processing; Non-profit; Ticket Brokers; Timeshares; Government Entities; Bail Bonds; Pawn Shops; Auction Houses; Trucking; Adult Entertainment; Law Firms; Travel Agencies,Franchises; Consulting/Marketing; Construction (5 yrs TIB & $100k deposits); Nail/Beauty Salons; Insurance Agencies; IT Consulting; Accounting/Billing; Staffing; Moving Services; Janitorial Services; Transportation for Hire; Smoke Shops (5 yrs TIB),Retail; Restaurants; Healthcare; Manufacturing; Specialty Trade Contractors,Tax returns required $250k+; P&L / Balance sheet / AR required $300k+; 24–48 hr decision; merchant must net ≥50% for buyouts; 2nd positions allowed with reputable A-paper funder and ≥30% paydown,,
DLP Funding,YES,OK,6,1st 2nd 3rd 4th 5th 6th 7th 8th,All except UT VA TX,Trucking; Auto Sales,Construction requires payment history; strong deposit volume required,Most service industries,Max leverage 50%; max reverse leverage 70%; healthy average daily balances required,,
G&G Funding,YES,OK,6,1st 2nd 3rd 4th 5th 6th 7th 8th,all 50,Not specified,High risk industries require higher revenue,Most industries with strong bank activity,,,
Barclays Advance,NO,Position mismatch,5,2nd 3rd 4th 5th 6th 7th 8th,All 50,Not specified,Trucking requires $200k monthly revenue,Most industries,Buyout program available; buyout max $1M; buyout term up to 80 days,,
Lendini,YES,OK,6,1st 2nd 3rd 4th,All states,Auto Dealers; Cannabis; Gambling; Adult; Illegal activities,Lower time in business allowed; flexible underwriting,Most industries,Fast approvals; lower TIB threshold; suitable for newer businesses; higher risk tolerance,,
CashFloIt,YES,OK,6,1st 2nd 3rd 4th,"All except AK, HI, NY, UT, VA, PR",Adult-related; Agriculture/Farming; Auto sales; Cannabis; Collections companies; Gambling; Insurance agencies; Law firms/legal support; Livestock/cattle dealers; Money-service businesses; Real Estate Brokers & real estate-adjacent businesses; Title companies,Construction and Trucking with minimum $300K/month revenue; Gas stations only if service station or convenience store,General industries,Min revenue excludes transfers and funding/credit/lines/loans,,
Credibly,YES,OK,6,1st 2nd 3rd,"All states for MCA subject to guidelines; WCL not available in CO, DE, GA, MI, MT, NJ, ND, OK, OR, SD, VT; CA loan approvals require CFL, MCA offers may be available","Adult Entertainment; Air Transport; Automotive Dealers; Bail Bonds; Banking, Lending, and Financial Services; Cannabis; Casinos; Civic, Social, Nonprofit and Religious Organizations/Government Agencies; Class 3 Weapons; Class Action/Business Litigation Attorneys; Credit Repair; Dating Services; Dickey’s BBQ Franchises; House Flippers; Intangible Assets; Multi-level Marketing; Oil and Gas; Solar; Trucking; Vape Shops; Warranty Services","Prime+ requires 36+ months TIB, 650 FICO, $3,000 ACH avg daily balance, and 0 NSFs/negative days; WCL unavailable in CO, DE, GA, MI, MT, NJ, ND, OK, OR, SD, VT; weekly remittances require 2+ years TIB; daily remittance gets 2-point discount","Top funded industries include Eating Places; Residential Construction; Beauty Shops; Plumbing, Heating, Air-Conditioning; Single-Family Housing Construction; General Automotive Repair Shops; Real Property Lessors; Insurance Agents, Brokers, and Service; Management Consulting Services; Building Maintenance Services",Exclusivity on first submission for 21 days; PG required for WCL and Prime+ but not MCA; principal operator must have at least 1% ownership; 45% paid in for MCA/WCL renewals; must net minimum 30% of renewal funds; monthly reporting to D&B and Experian,,
Lexio Capital,YES,OK,6,1st-3rd general; 1st-2nd for restricted/construction/trucking,All states / no state restrictions listed in updated guidelines,"Background check companies; Bail bond; Betting/Sports Bets/Any type of betting; Broker/Third party; Car Sales/Dealerships/Trailer Sales/RVs dealership/Boat sales/recreational vehicle dealerships; Check cashing store/Payday Loan; Church/Religious endeavor; Companies flipping real estate; Companies involved in Solar Sales (brokers and sales); Container shipping to other countries; Credit repair; Debt collector/Debt consolidator; Detective/Private investigator; Financial companies/Investment/Stock Trading/Financial Advisors; Fund raising; Golf carts dealerships (does not include repair); Horse Racing/Horse Jockey/Horse Trainer/Horse Betting; Hunting/Hunting coach; Independent Artists (Singer, dancers, DJ, etc); Law Firms (Financial, Bankruptcy); Logistic companies (Freight broker); MLM companies (Multi Level Companies); Payment sharing/payment processing/merchant services/credit card processor; Promoters; Sell / buy animals; Tax consolidator; Travel agency","Preferred products: 550+ FICO, 6+ months in business, 3-4 months bank statements depending on state, max position 1st/2nd/3rd; Restricted products: 550+ FICO, 6+ months in business, 3-4 months bank statements depending on state, max position 1st/2nd only; Construction financing: 600+ FICO for 1st position, 650+ FICO for 2nd position, 9 months in business, max position 1st/2nd only; Trucking financing: 620+ FICO, 1 year in business, max position 1st/2nd only; must have location if needed; must have online presence if needed; if none automatic high risk offer",General industries; Construction; Trucking & Transportation; Retail & Restaurants; Medical & Services,"Page 1 says funding from $7,500-$100,000, minimal stips, max neg/NSF 5, no defaults; page 5 adds bank/platform restrictions: Arc; Brex; Cash App; Chime; CloudTrucks; Dama Financial/Dama Business Solutions; Every; Found; Go2 Bank; Green Check Direct by Payquwick; Green Dot unless QuickBooks checking; Greenwood; Lili; Mercury; Nav; NorthOne; Novo; OnePay; Pathward; PayPal; QuickBooks Merchant statements; Relay; Revolut; Shopify any account; Slash; SoFi; Step; Tank; Thread Bank; TruckSmarter; UFB Direct; Upgrade; Varo; Viably; WISE; ZenBusiness Bank; Samsung Money by SoFi; Green Check Direct",,
Forward Financing,YES,OK,6,1st 2nd 3rd 4th 5th 6th,All 50 states,Adult entertainment; Auto/truck dealers & sales; Oil and gas exploration; Auction; Trust Companies; Lottery and gaming; Bail bonds; Multi-level marketing; Drug paraphernalia; Cannabis-related; Non-profit and religious; Pawn shops; Timeshare/vacation ownership; Financing Business/Factoring Company; Firearms/guns/ammunition manufacturer and sales; Commodity-based precious metals; Cryptocurrencies; Mortgage lenders; Private equity; Investment firms; Lending or financing firm/equipment finance; Publicly traded companies; Debt collection and bankruptcy lawyer; Debt negotiation; Debt settlement; Asset recovery business; Real estate investment & sales including flipping houses; Credit card processing and payment processor; ATM servicing; Check cashing and money wiring,Supports 700+ industries; buyouts/consolidations allowed; willing to buy out multiple positions and net 0%,Retail Businesses; Restaurant & Bars; Trucking & Transportation,"Estimated term range 3-18 months; revenue-based financing; buy rate range shown across personas 1.15-1.46; customer profile averages 623 credit score, 10 years in business, $33K average deal size; renewals generally eligible at 50-60% repaid with good payment history; ISO gets commission on 100% of funded renewal amount; first ISO with signed contracts on new deal gets 30-day exclusivity",,
FundKite,YES,OK,6,"1st 2nd 3rd, Texas up to 2nd",All states except special rule: Texas up to 2nd; no home-based in CA and NY only,trucking,"Most competitive on $100K-$1.5MM; terms up to 14 months; weekly payments; ACH Split / Flex Pay with real-time reconciliation; buyouts up to 3rd position to create 1st/2nd/3rd should net 50% of funding amount; General Construction requires $500,000 revenue; other construction specialty requires $100,000 revenue; used car dealerships only if about half the revenue comes from auto repair; no sole prop at this time; no home-based in CA and NY only",Medical; Business Franchises; Restaurants; Educational Services; Convenience Stores; Waste Management; Hospitality; Healthcare; Retail/Wholesale; Accounting; IT/E-Commerce; Public companies; Non-profit; Cannabis/CBD; strong attorney vertical appetite,Real-time reconciliation on every deal; true A/B credit appetite; strong cannabis and attorney vertical appetite; rep says they consistently win on dollar amount,,
Fintoro Capital,NO,Position mismatch,5,2nd 3rd 4th 5th 6th 7th,All 50 states,Unknown,Financial compliance required,Unknown,Updated max term to 200 days / 40 weeks per your instruction; flyer says avg daily balance N/A,,
Accelerant Funding,NO,Revenue below min,5,Reverse: up to 6 existing advances; Prime Reverse: up to 3 existing advances (A paper lenders); Standard MCA: 1st-4th,"All except Canada, Puerto Rico, Alaska, Hawaii",Auto Sales; Nonprofits; Legal; Financial; Trucking; Transportation; Cannabis; Real Estate; Jewelry,"Specialty Construction: HVAC, Plumbing, Flooring, Windows, Electrical with $75K min deposits; Liens/Judgments allowed case by case on reverses; standard construction exception noted; reverses are the primary fit",Merchant Cash Advances (MCAs); Reverses; Prime Reverse Consolidation,"Primarily does reverses; reverse consolidation allows up to 6 existing advances, 5-15 months, $20K-$5MM, 525+ FICO; prime reverse up to 3 existing A-paper advances, up to 450 days, 700+ FICO; note standard MCA page says no active reverses allowed for that product, but separate reverse products are clearly offered",,
LendWISE,NO,Position mismatch,5,2nd  3rd 4th 5th 6th,All states / none,None,None,No industry restrictions,No state restrictions; no industry restrictions; no FICO requirement,,
